ticker,name,sector,year_filed,filing_date,sample_source,bankruptcy_filing,bankrupt,total_assets,total_liabilities,current_assets,current_liabilities,retained_earnings,revenue,net_income,ebit,interest_expense,stockholders_equity,long_term_debt,source_filing_end,source_filing_filed,source_filing_form,debt_to_equity,current_ratio,return_on_assets,interest_coverage,net_margin,market_cap,price,beta,pe_ratio,week52_high,week52_low,analyst_rating,shares_outstanding,company_size
BBBYQ,Bed Bath & Beyond,Consumer Discretionary,2023.0,2023-04-23,manual,1,1,5130572000.0,4956427000.0,2363154000.0,2074787000.0,9666091000.0,12349301000.0,-559623000.0,-407578000.0,,174145000.0,1195000000.0,2022-02-26,2022-04-21,10-K,28.46149473140199,1.1389863152217552,-0.10907614199742251,,-0.04531616809728745,,,,,,,,,Mid
SIVBQ,SVB Financial Group,Financials,2023.0,2023-03-17,manual,1,1,211793000000.0,195498000000.0,,,8951000000.0,,171902000.0,,1188000000.0,16004000000.0,5370000000.0,2022-12-31,2023-02-24,10-K,12.215571107223195,,0.0008116509988526533,,,,,,,,,,,Large
RIDEQ,Lordstown Motors,Consumer Discretionary,2023.0,2023-06-27,manual,1,1,452312000.0,70280000.0,255875000.0,68834000.0,-827213000.0,,-282404000.0,-387304000.0,703000.0,351771000.0,,2022-12-31,2023-03-06,10-K,0.19978906731936402,3.7172763459918063,-0.6243566387803109,-550.9302987197724,,,,,,,,,,Small
SDCCQ,SmileDirectClub,Healthcare,2023.0,2023-09-29,manual,1,1,597063000.0,982261000.0,297419000.0,116800000.0,-381725000.0,470743000.0,-86404000.0,-262113000.0,,,412511000.0,2022-12-31,2023-02-28,10-K,,2.5463955479452056,-0.14471504682085476,,-0.18354813560690228,,,,,,,,,Small
WEWKQ,WeWork,Real Estate,2023.0,2023-11-06,manual,1,1,17863000000.0,21318000000.0,689000000.0,2230000000.0,-16177000000.0,3245000000.0,-2034000000.0,-1591000000.0,516000000.0,-3670000000.0,,2022-12-31,2023-03-29,10-K,-5.808719346049046,0.30896860986547087,-0.11386665173822987,-3.0833333333333335,-0.6268104776579353,,,,,,,,,Large
RAD,Rite Aid,Consumer Staples,2023.0,2023-10-15,manual,1,1,7527362000.0,8169138000.0,3301047000.0,2727875000.0,-6601517000.0,24091899000.0,-749936000.0,,224399000.0,-641776000.0,3889738000.0,2023-03-04,2023-05-01,10-K,-12.728955274114332,1.2101166659029465,-0.09962799716554087,,-0.031128139795040647,,,,,,,,,Mid
YELLQ,Yellow Corp,Industrials,2023.0,2023-08-06,manual,1,1,2279300000.0,,914100000.0,717000000.0,-2453200000.0,0.0,21800000.0,197800000.0,162900000.0,-381500000.0,1538000000.0,2022-12-31,2023-02-09,10-K,,1.2748953974895398,0.009564339928925547,1.2142418661755678,,,,,,,,,,Mid
VORBQ,Virgin Orbit,Industrials,2023.0,2023-04-04,manual,1,1,331740000.0,118770000.0,238778000.0,47958000.0,-820454000.0,,-157291000.0,-171362000.0,24000.0,212970000.0,,2021-12-31,2022-03-31,10-K,0.5576841808705452,4.978898202593936,-0.47413938626635316,-7140.083333333333,,,,,,,,,,Small
PRTYQ,Party City Holdco,Consumer Discretionary,2023.0,2023-01-17,manual,1,1,2711900000.0,2629186000.0,698483000.0,570059000.0,-571985000.0,2171060000.0,-6528000.0,84632000.0,87226000.0,82714000.0,1352562000.0,2021-12-31,2022-02-28,10-K,31.786469037889596,1.2252819445004814,-0.0024071684059146724,0.9702611606631051,-0.0030068261586506132,,,,,,,,,Mid
TUP,Tupperware Brands,Consumer Staples,2024.0,2024-09-17,manual,1,1,743600000.0,1173400000.0,431600000.0,1001900000.0,887300000.0,0.0,-232500000.0,23600000.0,40700000.0,-429800000.0,617800000.0,2022-12-31,2023-10-13,10-K,-2.7301070265239646,0.4307815151212696,-0.3126681011296396,0.5798525798525799,,,,,,,,,,Small
EXPRQ,Express,Consumer Discretionary,2024.0,2024-04-22,manual,1,1,1398325000.0,1090756000.0,534404000.0,541590000.0,355736000.0,,293834000.0,-67487000.0,2242000.0,307569000.0,122000000.0,2023-01-28,2023-03-31,10-K,3.5463782110680855,0.9867316604811758,0.21013283750201134,-30.101248884924175,,,,,,,,,,Mid
FSRN,Fisker,Consumer Discretionary,2024.0,2024-06-17,manual,1,1,1831687000.0,1929769000.0,924154000.0,902629000.0,-2106688000.0,272883000.0,-939947000.0,-602455000.0,,-98082000.0,1032000000.0,2023-12-31,2024-04-23,10-K,-19.675057604861237,1.0238470069098156,-0.5131591805805249,,-3.4445055206810244,,,,,,,,,Mid
NVTAQ,Invitae,Healthcare,2024.0,2024-02-13,manual,1,1,1954116000.0,1852280000.0,693130000.0,108093000.0,-4829141000.0,68221000.0,-3106293000.0,-3118410000.0,56747000.0,101836000.0,39084000.0,2022-12-31,2023-02-28,10-K,18.188852665069327,6.412348625720444,-1.5896154578336188,-54.95286094419088,-45.53279781885343,,,,,,,,,Mid
CANOQ,Cano Health,Healthcare,2024.0,2024-02-04,manual,1,1,1928927000.0,1434652000.0,340748000.0,208438000.0,-286032000.0,1609369000.0,-207272000.0,-436800000.0,62495000.0,252631000.0,1021988000.0,2022-12-31,2023-03-15,10-K,5.678843847350484,1.634769092008175,-0.1074545589335418,-6.989359148731898,-0.12879084908433056,,,,,,,,,Mid
AUDAQ,Audacy,Communication Services,2024.0,2024-01-07,manual,1,1,3284893000.0,2764274000.0,437051000.0,207854000.0,-1160618000.0,1462567000.0,-140671000.0,-73693000.0,107491000.0,520619000.0,1891774000.0,2022-12-31,2023-03-16,10-K,5.309591082922444,2.1026826522462883,-0.042823617085853326,-0.6855736759356598,-0.0961808929095214,,,,,,,,,Mid
BIG,Big Lots,Consumer Discretionary,2024.0,2024-09-09,manual,1,1,3325309000.0,,1086023000.0,831019000.0,2750748000.0,,-481876000.0,-387357000.0,44758000.0,284495000.0,406271000.0,2024-02-03,2024-04-18,10-K,,1.30685700326948,-0.14491164580494625,-8.654475177621878,,,,,,,,,,Mid
AAPL,Apple Inc,Technology,,,manual,0,0,359241000000.0,285508000000.0,147957000000.0,165631000000.0,-14264000000.0,265595000000.0,112010000000.0,133050000000.0,3933000000.0,73733000000.0,90678000000.0,2025-09-27,2025-10-31,10-K,3.872187487285205,0.8932929222186667,0.3117962593356549,33.82913806254767,0.42173233682863004,3967798476800.0,270.2651,1.109,34.25412,288.62,193.25,buy,14681140000.0,Large
